Dataset,Model,Group,Run_Index,Seed,ACC,APR_Weighted,RE_Weighted,F1_Macro,F1_Weighted,Val_Macro_F1
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,0,42,0.7082,0.7031,0.7082,0.7255,0.7030,0.5164
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,1,43,0.6334,0.6830,0.6334,0.6784,0.6466,0.4807
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_Clean,2,44,0.6608,0.6938,0.6608,0.7020,0.6717,0.5158
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,0,42,0.6534,0.6654,0.6534,0.6894,0.6564,0.5274
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,1,43,0.5661,0.5566,0.5661,0.5401,0.5529,0.4472
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,2,44,0.5810,0.6063,0.5810,0.6252,0.5912,0.4931
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,0,42,0.6584,0.6585,0.6584,0.6460,0.6508,0.5227
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,1,43,0.6185,0.6856,0.6185,0.6722,0.6324,0.4321
ShipsEar,HTAN,20260314_195534,G0_P0_TE1_TA1_Clean,2,44,0.6833,0.7274,0.6833,0.7235,0.6943,0.4683
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,0,42,0.6958,0.7156,0.6958,0.7132,0.6985,0.5727
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,1,43,0.6509,0.6603,0.6509,0.6853,0.6526,0.5011
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA0_Clean,2,44,0.6584,0.6709,0.6584,0.6555,0.6620,0.4897
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_SNR10.0,0,42,0.3017,0.1760,0.3017,0.2424,0.2028,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_SNR10.0,0,42,0.5012,0.5192,0.5012,0.4336,0.4352,0.0000
ShipsEar,HTAN,20260314_195534,G0_P0_TE0_TA0_SNR0.0,0,42,0.2793,0.1125,0.2793,0.1511,0.1547,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_SNR0.0,0,42,0.3541,0.2426,0.3541,0.2348,0.2416,0.0000
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,0,42,0.6958,0.7201,0.6958,0.7289,0.7022,0.5584
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,1,43,0.6334,0.6383,0.6334,0.6658,0.6173,0.4855
ShipsEar,HTAN,20260314_195534,G1_P1_TE1_TA1_Clean,2,44,0.5711,0.5794,0.5711,0.5824,0.5721,0.5386
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,0,42,0.4888,0.5105,0.4888,0.4519,0.4884,0.4067
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,1,43,0.5835,0.5919,0.5835,0.5858,0.5742,0.5028
ShipsEar,HTAN,20260314_202626_Conservative,G0_P0_TE0_TA0_Clean,2,44,0.6983,0.7099,0.6983,0.7116,0.6987,0.4961
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,0,42,0.7581,0.7794,0.7581,0.7944,0.7656,0.5357
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,1,43,0.6060,0.5966,0.6060,0.5888,0.5638,0.4485
ShipsEar,HTAN,20260314_202626_Conservative,G1_P1_TE1_TA1_Clean,2,44,0.6085,0.6178,0.6085,0.5794,0.6017,0.4451
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.7531,0.7767,0.7531,0.7770,0.7607,0.5705
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6908,0.6993,0.6908,0.7121,0.6917,0.4529
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6259,0.6399,0.6259,0.6487,0.6310,0.4790
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.5935,0.5981,0.5935,0.5956,0.5767,0.5103
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6309,0.7117,0.6309,0.6084,0.6168,0.4931
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.5736,0.6353,0.5736,0.5911,0.5949,0.4962
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.6833,0.7005,0.6833,0.7088,0.6894,0.5192
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.6334,0.6725,0.6334,0.6581,0.6403,0.5057
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6110,0.6216,0.6110,0.6378,0.5993,0.5561
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,0,42,0.6783,0.7085,0.6783,0.7000,0.6866,0.5313
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,1,43,0.4913,0.4466,0.4913,0.4518,0.4643,0.4101
ShipsEar,HTAN,20260314_StrategyAblation,G1_P1_TE1_TA1_Clean,2,44,0.6384,0.6573,0.6384,0.6221,0.6294,0.4949
